model,question_type,questions,ever_flip_questions,ever_flip_rate,flip_events,event_rate
DeepSeek-R1-Distill-Qwen-7B,base,176,67,0.3806818181818182,94,0.10681818181818181
DeepSeek-R1-Distill-Qwen-7B,critical,168,52,0.30952380952380953,68,0.08095238095238096
DeepSeek-R1-Distill-Qwen-7B,presupposition,168,70,0.4166666666666667,95,0.1130952380952381
Llama-3.1-8B-Instruct,base,152,95,0.625,154,0.2026315789473684
Llama-3.1-8B-Instruct,critical,152,100,0.6578947368421053,155,0.20394736842105263
Llama-3.1-8B-Instruct,presupposition,146,86,0.589041095890411,129,0.17671232876712328
Gemma-2-9B,base,176,173,0.9829545454545454,425,0.48295454545454547
Gemma-2-9B,critical,176,172,0.9772727272727273,417,0.4738636363636364
Gemma-2-9B,presupposition,176,171,0.9715909090909091,413,0.4693181818181818
Qwen3.5-9B,base,112,100,0.8928571428571429,241,0.4303571428571429
Qwen3.5-9B,critical,112,103,0.9196428571428571,237,0.4232142857142857
Qwen3.5-9B,presupposition,112,85,0.7589285714285714,171,0.3053571428571429
