model,qtype,variant,layer,auc,lo,hi,mean_drift,n
DeepSeek-R1-7B,critical,all,0,0.5,0.5,0.5,0.0,168
DeepSeek-R1-7B,critical,all,1,0.4219,0.3001,0.5406,0.0685,168
DeepSeek-R1-7B,critical,all,2,0.4515,0.3207,0.576,0.0647,168
DeepSeek-R1-7B,critical,all,3,0.4763,0.3405,0.5985,0.0815,168
DeepSeek-R1-7B,critical,all,4,0.4875,0.3661,0.6118,0.1022,168
DeepSeek-R1-7B,critical,all,5,0.4977,0.3802,0.6159,0.1075,168
DeepSeek-R1-7B,critical,all,6,0.4569,0.3338,0.5786,0.1094,168
DeepSeek-R1-7B,critical,all,7,0.4597,0.3376,0.5788,0.1394,168
DeepSeek-R1-7B,critical,all,8,0.5423,0.4122,0.6647,0.1824,168
DeepSeek-R1-7B,critical,all,9,0.5288,0.4013,0.6467,0.2077,168
DeepSeek-R1-7B,critical,all,10,0.4561,0.3431,0.5721,0.1911,168
DeepSeek-R1-7B,critical,all,11,0.4747,0.3647,0.5922,0.1761,168
DeepSeek-R1-7B,critical,all,12,0.5038,0.3852,0.6222,0.1712,168
DeepSeek-R1-7B,critical,all,13,0.5168,0.3965,0.6427,0.1884,168
DeepSeek-R1-7B,critical,all,14,0.5309,0.4062,0.6541,0.175,168
DeepSeek-R1-7B,critical,all,15,0.5566,0.4373,0.6806,0.2111,168
DeepSeek-R1-7B,critical,all,16,0.5518,0.4321,0.6768,0.2269,168
DeepSeek-R1-7B,critical,all,17,0.5541,0.4344,0.679,0.2492,168
DeepSeek-R1-7B,critical,all,18,0.5653,0.446,0.6881,0.26,168
DeepSeek-R1-7B,critical,all,19,0.5997,0.4739,0.7267,0.2559,168
DeepSeek-R1-7B,critical,all,20,0.6033,0.4851,0.7222,0.2701,168
DeepSeek-R1-7B,critical,all,21,0.6168,0.4968,0.733,0.2917,168
DeepSeek-R1-7B,critical,all,22,0.598,0.4794,0.7229,0.312,168
DeepSeek-R1-7B,critical,all,23,0.5773,0.457,0.7067,0.3039,168
DeepSeek-R1-7B,critical,all,24,0.5533,0.4315,0.6881,0.2733,168
DeepSeek-R1-7B,critical,all,25,0.5339,0.4153,0.6693,0.2316,168
DeepSeek-R1-7B,critical,all,26,0.5204,0.4034,0.6467,0.1805,168
DeepSeek-R1-7B,critical,all,27,0.4806,0.3706,0.6033,0.127,168
DeepSeek-R1-7B,critical,all,28,0.4395,0.3311,0.5564,0.1363,168
DeepSeek-R1-7B,critical,excl_t1,0,0.5,0.5,0.5,0.0,123
DeepSeek-R1-7B,critical,excl_t1,1,0.4079,0.2867,0.5365,0.0685,123
DeepSeek-R1-7B,critical,excl_t1,2,0.4274,0.3077,0.5638,0.0644,123
DeepSeek-R1-7B,critical,excl_t1,3,0.4541,0.3362,0.597,0.081,123
DeepSeek-R1-7B,critical,excl_t1,4,0.4763,0.356,0.6167,0.1019,123
DeepSeek-R1-7B,critical,excl_t1,5,0.4816,0.3686,0.6188,0.1073,123
DeepSeek-R1-7B,critical,excl_t1,6,0.4402,0.3166,0.5829,0.1092,123
DeepSeek-R1-7B,critical,excl_t1,7,0.4553,0.3382,0.5863,0.1395,123
DeepSeek-R1-7B,critical,excl_t1,8,0.5259,0.3991,0.653,0.1821,123
DeepSeek-R1-7B,critical,excl_t1,9,0.5113,0.3802,0.6391,0.2072,123
DeepSeek-R1-7B,critical,excl_t1,10,0.4436,0.3162,0.5884,0.1905,123
DeepSeek-R1-7B,critical,excl_t1,11,0.453,0.3236,0.5887,0.1755,123
