model,qtype,layer,auc,delta_mean,mw_p,spearman_rho,spearman_p,n_flip,n_hold
DeepSeek-R1-7B,base,0,0.5,0.0,1.0,,,148,28
DeepSeek-R1-7B,base,1,0.4524613899613899,-0.002199709300368946,0.7878091571793773,-0.04834562450165485,0.5595538138508453,148,28
DeepSeek-R1-7B,base,2,0.4044401544401544,-0.003181674535670309,0.9456156751586109,-0.005303120554468607,0.9489951719243452,148,28
DeepSeek-R1-7B,base,3,0.3952702702702703,-0.005019934020907724,0.9605797481539421,0.02079564304765419,0.8019131043304892,148,28
DeepSeek-R1-7B,base,4,0.41747104247104244,-0.004036933874071336,0.9170249161028159,-0.02751138523453583,0.7399530930964651,148,28
DeepSeek-R1-7B,base,5,0.4498069498069498,-0.002274626240306832,0.8004794709687286,-0.024717018945281628,0.7655570112628624,148,28
DeepSeek-R1-7B,base,6,0.47128378378378377,-0.0016588278718896454,0.6855764962046961,0.019305828976311477,0.8158422893921724,148,28
DeepSeek-R1-7B,base,7,0.4662162162162162,-0.0018871577895285263,0.7150811555027374,0.040595503633115586,0.6242186904885214,148,28
DeepSeek-R1-7B,base,8,0.46332046332046334,-0.0030150622359573775,0.7313258533556575,0.00853748374562195,0.9179755131974868,148,28
DeepSeek-R1-7B,base,9,0.4732142857142857,-0.0025894568233416626,0.6740023971178604,-0.03188819652184834,0.7004261770482436,148,28
DeepSeek-R1-7B,base,10,0.5077220077220077,-0.0004757355078767178,0.44930781690951094,-0.030135928158144743,0.716161620349707,148,28
DeepSeek-R1-7B,base,11,0.4862451737451738,-0.0012794230205211976,0.5919540567620759,0.024524037847957442,0.7673349930594281,148,28
DeepSeek-R1-7B,base,12,0.4845559845559846,-0.0013445986859127457,0.6029104973777454,0.03574009922443908,0.6662878543460543,148,28
DeepSeek-R1-7B,base,13,0.45752895752895756,-0.00297022769119748,0.7623562253823482,-0.03050645186500718,0.712824074839381,148,28
DeepSeek-R1-7B,base,14,0.45077220077220076,-0.004332762830045689,0.7959256788975038,-0.03641167344312725,0.6604028948844638,148,28
DeepSeek-R1-7B,base,15,0.4329150579150579,-0.007946273017113814,0.8700165116612069,-0.0021691075339238404,0.9791260381998126,148,28
DeepSeek-R1-7B,base,16,0.4312258687258687,-0.009044964168522851,0.8759102666006074,0.0073101239666401325,0.9297347053262982,148,28
DeepSeek-R1-7B,base,17,0.45246138996138996,-0.008349921770077429,0.7878091571793773,0.001759987607596568,0.9830624665845576,148,28
DeepSeek-R1-7B,base,18,0.458011583011583,-0.007820496918151676,0.7598477284723868,-0.009317127378811657,0.9105148874178082,148,28
DeepSeek-R1-7B,base,19,0.4437741312741313,-0.0064086555629163655,0.8275312571895557,-0.036635531516023306,0.6584458293901678,148,28
DeepSeek-R1-7B,base,20,0.4058880308880308,-0.01104110036347361,0.9428874264289823,-0.020247576731253502,0.8070303214044133,148,28
DeepSeek-R1-7B,base,21,0.38634169884169883,-0.013961179318575323,0.9717468476534871,0.024145794897202043,0.77082334749423,148,28
DeepSeek-R1-7B,base,22,0.38030888030888027,-0.01699366780091438,0.977690551827259,0.018155661636259337,0.8266356865411889,148,28
DeepSeek-R1-7B,base,23,0.3730694980694981,-0.017921716377541808,0.9833965508506513,0.01891986678166311,0.8194604886720868,148,28
DeepSeek-R1-7B,base,24,0.40226833976833976,-0.015817180908784922,0.9495135609437914,-0.01775426095382503,0.8304102639418716,148,28
DeepSeek-R1-7B,base,25,0.4017857142857143,-0.013604606728295998,0.9503487824414206,-0.005310839798361574,0.9489210294759551,148,28
DeepSeek-R1-7B,base,26,0.42591698841698844,-0.010831884953506177,0.8932074444881991,-0.021938091143813364,0.7912734592475443,148,28
DeepSeek-R1-7B,base,27,0.4531853281853282,-0.005651044224219803,0.784273672594292,-0.031224341547053152,0.7063730921789819,148,28
DeepSeek-R1-7B,base,28,0.4777992277992278,-0.00019810914015216952,0.6458504668700041,-0.053957514811842154,0.5148331929107041,148,28
DeepSeek-R1-7B,critical,0,0.5,0.0,1.0,,,140,28
DeepSeek-R1-7B,critical,1,0.4219387755102041,-0.002503346545355667,0.9039637672004804,-0.01905015088176643,0.8232212148368496,140,28
DeepSeek-R1-7B,critical,2,0.45153061224489793,-0.0014960186822072785,0.7912519463719265,0.04821249057666518,0.5716163825371047,140,28
DeepSeek-R1-7B,critical,3,0.47627551020408165,-0.0006145162241798507,0.6546622028396807,0.037740329398205055,0.6579799552677716,140,28
DeepSeek-R1-7B,critical,4,0.4875,-0.0003565881933484949,0.5834288830116435,0.04546061528765499,0.5937908887726179,140,28
DeepSeek-R1-7B,critical,5,0.49770408163265306,-0.0005460436855043715,0.516125737757869,0.021668739858497408,0.7994034793090763,140,28
DeepSeek-R1-7B,critical,6,0.4568877551020408,-0.0016764010701860732,0.7646671537270624,0.04060382876764695,0.6338462714229893,140,28
DeepSeek-R1-7B,critical,7,0.4596938775510203,-0.0019516710724148956,0.7500286994820397,0.006850073670574191,0.9359784236804857,140,28
DeepSeek-R1-7B,critical,8,0.5423469387755102,-0.00020049554961076854,0.24060049266805938,0.07055780904512618,0.407444268383789,140,28
DeepSeek-R1-7B,critical,9,0.5288265306122449,-0.0003444744007928824,0.3160394316133918,0.06507000476431034,0.4449709506202095,140,28
DeepSeek-R1-7B,critical,10,0.4561224489795918,-0.0018642229693276446,0.7685757339541406,0.04540138618375246,0.5942724057752777,140,28
DeepSeek-R1-7B,critical,11,0.4747448979591836,-0.0010541404996600168,0.6640254694285435,0.07013864923289284,0.4102429870936723,140,28
DeepSeek-R1-7B,critical,12,0.5038265306122449,-0.0004131968532289365,0.4753959436594425,0.13225403292944968,0.11931108980188433,140,28
DeepSeek-R1-7B,critical,13,0.5168367346938776,0.00048369680132187565,0.39021079196139735,0.15511191095091342,0.06725796204721943,140,28
DeepSeek-R1-7B,critical,14,0.5308673469387755,0.0015461904661996373,0.3040277438113086,0.1616248343377347,0.056418569126144534,140,28
DeepSeek-R1-7B,critical,15,0.5566326530612246,0.00399059014660974,0.17291470968877554,0.08284101397752926,0.33051650767705903,140,28
DeepSeek-R1-7B,critical,16,0.5517857142857143,0.004531128065926593,0.1943863553838519,0.05952980550696533,0.4847575637367834,140,28
DeepSeek-R1-7B,critical,17,0.5540816326530613,0.004804158636501854,0.18402036794738946,0.03260334365588887,0.7021564784640383,140,28
DeepSeek-R1-7B,critical,18,0.5653061224489796,0.0059170178004672724,0.13842682080505042,-0.0020251797449752098,0.9810540647375701,140,28
