model,method,condition,n_flip,n_total,rate,normal_lo,normal_hi,wilson_lo,wilson_hi
DeepSeek-R1-7B,keyword,base,67,176,0.3807,0.3089,0.4524,0.3122,0.4542
DeepSeek-R1-7B,keyword,critical,52,168,0.3095,0.2396,0.3794,0.2445,0.383
DeepSeek-R1-7B,keyword,presupposition,70,168,0.4167,0.3421,0.4912,0.3448,0.4923
DeepSeek-R1-7B,judge,base,148,176,0.8409,0.7869,0.8949,0.7797,0.8876
DeepSeek-R1-7B,judge,critical,140,168,0.8333,0.777,0.8897,0.7697,0.8821
DeepSeek-R1-7B,judge,presupposition,145,168,0.8631,0.8111,0.9151,0.8029,0.907
Gemma-2-9B,keyword,base,174,177,0.9831,0.964,1.0,0.9514,0.9942
Gemma-2-9B,keyword,critical,172,176,0.9773,0.9553,0.9993,0.943,0.9911
Gemma-2-9B,keyword,presupposition,171,176,0.9716,0.947,0.9961,0.9352,0.9878
Gemma-2-9B,judge,base,172,176,0.9773,0.9553,0.9993,0.943,0.9911
Gemma-2-9B,judge,critical,166,176,0.9432,0.909,0.9774,0.8986,0.9688
Gemma-2-9B,judge,presupposition,170,176,0.9659,0.9391,0.9927,0.9276,0.9843
Llama-3.1-8B,keyword,base,95,152,0.625,0.548,0.702,0.5458,0.698
Llama-3.1-8B,keyword,critical,100,152,0.6579,0.5825,0.7333,0.5794,0.7286
Llama-3.1-8B,keyword,presupposition,86,147,0.585,0.5054,0.6647,0.5042,0.6615
Llama-3.1-8B,judge,base,130,152,0.8553,0.7993,0.9112,0.7906,0.9024
Llama-3.1-8B,judge,critical,125,152,0.8224,0.7616,0.8831,0.7539,0.875
Llama-3.1-8B,judge,presupposition,111,146,0.7603,0.691,0.8295,0.6849,0.8223
Qwen2.5-7B,keyword,base,9,156,0.0577,0.0211,0.0943,0.0306,0.106
Qwen2.5-7B,keyword,critical,15,157,0.0955,0.0496,0.1415,0.0588,0.1516
Qwen2.5-7B,keyword,presupposition,9,153,0.0588,0.0215,0.0961,0.0313,0.108
Qwen2.5-7B,judge,base,64,155,0.4129,0.3354,0.4904,0.3384,0.4916
Qwen2.5-7B,judge,critical,72,156,0.4615,0.3833,0.5398,0.3852,0.5398
Qwen2.5-7B,judge,presupposition,66,153,0.4314,0.3529,0.5098,0.3555,0.5106
Qwen3.5-9B,keyword,base,100,112,0.8929,0.8356,0.9501,0.822,0.9376
Qwen3.5-9B,keyword,critical,103,112,0.9196,0.8693,0.97,0.8543,0.9571
Qwen3.5-9B,keyword,presupposition,85,112,0.7589,0.6797,0.8381,0.672,0.8287
Qwen3.5-9B,judge,base,75,112,0.6696,0.5825,0.7567,0.5782,0.7499
Qwen3.5-9B,judge,critical,79,112,0.7054,0.6209,0.7898,0.6153,0.7818
Qwen3.5-9B,judge,presupposition,90,112,0.8036,0.73,0.8772,0.7205,0.8666
