model,condition,layer,n,fisher,fisher_lo,fisher_hi,lda_acc,lda_lo,lda_hi,chance
DeepSeek-R1-7B,base,19,464,0.0043,0.003,0.0145,0.6401,0.5954,0.6824,0.681
DeepSeek-R1-7B,critical,19,445,0.0051,0.0031,0.0168,0.6067,0.5606,0.651,0.6854
DeepSeek-R1-7B,presupposition,19,427,0.004,0.0026,0.0153,0.6393,0.5927,0.6835,0.6604
Qwen2.5-7B,base,17,689,0.0185,0.0112,0.0276,0.881,0.8547,0.9031,0.9071
Qwen2.5-7B,critical,17,682,0.0231,0.0152,0.0347,0.8592,0.8311,0.8833,0.8944
Qwen2.5-7B,presupposition,17,685,0.0284,0.0205,0.0393,0.8861,0.8602,0.9078,0.9036
Llama-3.1-8B,base,9,428,0.0069,0.0029,0.0209,0.6776,0.6319,0.7201,0.6963
Llama-3.1-8B,critical,9,474,0.017,0.0085,0.0319,0.7405,0.6992,0.7779,0.7363
Llama-3.1-8B,presupposition,9,494,0.0192,0.0109,0.0349,0.7713,0.7322,0.8061,0.7753
Qwen3.5-9B,base,10,423,0.0338,0.025,0.0489,0.7801,0.7383,0.817,0.8227
Qwen3.5-9B,critical,10,405,0.0454,0.0335,0.065,0.7383,0.6934,0.7787,0.8049
Qwen3.5-9B,presupposition,10,373,0.058,0.041,0.0849,0.748,0.7016,0.7894,0.7587
