model,turn,group,mean_l2,se,n
DeepSeek-R1-7B,0,flip,247.23967219334023,0.1867382599483906,510
DeepSeek-R1-7B,0,hold,244.79984283447266,1.0890745655215017,2
DeepSeek-R1-7B,1,flip,259.20581739837047,0.10726572893754659,510
DeepSeek-R1-7B,1,hold,259.81097412109375,0.19429899468394998,2
DeepSeek-R1-7B,2,flip,260.0345666013171,0.1672900698326207,199
DeepSeek-R1-7B,2,hold,261.1825714111328,1.5018790072757546,2
DeepSeek-R1-7B,3,flip,261.16675235063605,0.26384190305443983,78
DeepSeek-R1-7B,3,hold,264.4624786376953,1.3596721686521172,2
DeepSeek-R1-7B,4,flip,261.6885867648655,0.4651565319284463,18
DeepSeek-R1-7B,4,hold,261.99034118652344,3.3121137991512763,2
DeepSeek-R1-7B,5,flip,261.36773681640625,0.4433574902872068,3
DeepSeek-R1-7B,5,hold,263.1029052734375,0.9381119720008172,2
Qwen2.5-7B,0,flip,98.85015575531273,0.2602270575074127,343
Qwen2.5-7B,0,hold,99.06916165942988,0.4340925897997899,121
Qwen2.5-7B,1,flip,102.06240555565837,0.11051517178753346,343
Qwen2.5-7B,1,hold,102.57813199886606,0.18756899268480212,121
Qwen2.5-7B,2,flip,103.70582901188202,0.09639746719083507,326
Qwen2.5-7B,2,hold,104.04139097860036,0.15104207856954466,121
Qwen2.5-7B,3,flip,103.88499708433409,0.08043804830430744,296
Qwen2.5-7B,3,hold,104.1555209199259,0.1226349514594057,121
Qwen2.5-7B,4,flip,105.34642397667751,0.07119628362715041,242
Qwen2.5-7B,4,hold,105.53578305835566,0.10228218365263038,121
Qwen2.5-7B,5,flip,103.90796915690105,0.5955890961695672,3
Qwen2.5-7B,5,hold,104.1353916767215,0.10104626114225425,121
Llama-3.1-8B,0,flip,14.505940007311958,0.010875967568942947,448
Llama-3.1-8B,0,hold,14.809897422790527,0.1295839305841368,3
Llama-3.1-8B,1,flip,15.034287427152906,0.011854598390019412,448
Llama-3.1-8B,1,hold,14.747423807779947,0.06072820901073139,3
Llama-3.1-8B,2,flip,15.267689646993365,0.015569940733955488,280
Llama-3.1-8B,2,hold,15.14537525177002,0.12657125306779324,3
Llama-3.1-8B,3,flip,15.430895861457376,0.030775776614864442,119
Llama-3.1-8B,3,hold,15.356999397277832,0.19451475505637844,3
Llama-3.1-8B,4,flip,15.214021775780655,0.05960565926232365,41
Llama-3.1-8B,4,hold,15.215222358703613,0.23752037367491488,3
Llama-3.1-8B,5,flip,,,0
Llama-3.1-8B,5,hold,15.271693547566732,0.2181486379099698,3
Qwen3.5-9B,0,flip,52.35717482960552,0.04990202191376583,327
Qwen3.5-9B,0,hold,51.898295084635414,0.15382163423092546,9
Qwen3.5-9B,1,flip,50.82224217686085,0.026291928091296043,327
Qwen3.5-9B,1,hold,50.77841440836588,0.15251982538795664,9
Qwen3.5-9B,2,flip,49.315531353341456,0.03131371839417039,321
Qwen3.5-9B,2,hold,49.42443084716797,0.14241046168198368,9
Qwen3.5-9B,3,flip,49.157886534026176,0.05418669903448899,132
Qwen3.5-9B,3,hold,48.85754140218099,0.2297633408068952,9
Qwen3.5-9B,4,flip,48.69477824675731,0.09549640071408878,39
Qwen3.5-9B,4,hold,48.737281799316406,0.3195552709709502,9
Qwen3.5-9B,5,flip,,,0
Qwen3.5-9B,5,hold,48.58138783772787,0.34248040842086264,9
