model,qtype,layer,acc,chance
DeepSeek-R1-7B,critical,0,0.6854,0.6854
DeepSeek-R1-7B,critical,1,0.5978,0.6854
DeepSeek-R1-7B,critical,2,0.618,0.6854
DeepSeek-R1-7B,critical,3,0.5888,0.6854
DeepSeek-R1-7B,critical,4,0.6067,0.6854
DeepSeek-R1-7B,critical,5,0.5978,0.6854
DeepSeek-R1-7B,critical,6,0.6247,0.6854
DeepSeek-R1-7B,critical,7,0.6067,0.6854
DeepSeek-R1-7B,critical,8,0.6337,0.6854
DeepSeek-R1-7B,critical,9,0.6225,0.6854
DeepSeek-R1-7B,critical,10,0.5888,0.6854
DeepSeek-R1-7B,critical,11,0.5865,0.6854
DeepSeek-R1-7B,critical,12,0.582,0.6854
DeepSeek-R1-7B,critical,13,0.5933,0.6854
DeepSeek-R1-7B,critical,14,0.564,0.6854
DeepSeek-R1-7B,critical,15,0.5955,0.6854
DeepSeek-R1-7B,critical,16,0.573,0.6854
DeepSeek-R1-7B,critical,17,0.573,0.6854
DeepSeek-R1-7B,critical,18,0.6,0.6854
DeepSeek-R1-7B,critical,19,0.5573,0.6854
DeepSeek-R1-7B,critical,20,0.573,0.6854
DeepSeek-R1-7B,critical,21,0.5461,0.6854
DeepSeek-R1-7B,critical,22,0.5393,0.6854
DeepSeek-R1-7B,critical,23,0.564,0.6854
DeepSeek-R1-7B,critical,24,0.5573,0.6854
DeepSeek-R1-7B,critical,25,0.591,0.6854
DeepSeek-R1-7B,critical,26,0.6112,0.6854
DeepSeek-R1-7B,critical,27,0.6135,0.6854
DeepSeek-R1-7B,critical,28,0.6067,0.6854
Qwen2.5-7B,presupposition,0,0.9036,0.9036
Qwen2.5-7B,presupposition,1,0.8365,0.9036
Qwen2.5-7B,presupposition,2,0.8365,0.9036
Qwen2.5-7B,presupposition,3,0.8321,0.9036
Qwen2.5-7B,presupposition,4,0.8511,0.9036
Qwen2.5-7B,presupposition,5,0.8467,0.9036
Qwen2.5-7B,presupposition,6,0.8569,0.9036
Qwen2.5-7B,presupposition,7,0.8642,0.9036
Qwen2.5-7B,presupposition,8,0.8613,0.9036
Qwen2.5-7B,presupposition,9,0.8803,0.9036
Qwen2.5-7B,presupposition,10,0.8818,0.9036
Qwen2.5-7B,presupposition,11,0.8818,0.9036
Qwen2.5-7B,presupposition,12,0.8788,0.9036
Qwen2.5-7B,presupposition,13,0.8745,0.9036
Qwen2.5-7B,presupposition,14,0.8686,0.9036
Qwen2.5-7B,presupposition,15,0.8803,0.9036
Qwen2.5-7B,presupposition,16,0.8759,0.9036
Qwen2.5-7B,presupposition,17,0.8891,0.9036
Qwen2.5-7B,presupposition,18,0.8715,0.9036
Qwen2.5-7B,presupposition,19,0.8686,0.9036
Qwen2.5-7B,presupposition,20,0.8686,0.9036
Qwen2.5-7B,presupposition,21,0.8642,0.9036
Qwen2.5-7B,presupposition,22,0.8672,0.9036
Qwen2.5-7B,presupposition,23,0.873,0.9036
Qwen2.5-7B,presupposition,24,0.8672,0.9036
Qwen2.5-7B,presupposition,25,0.8672,0.9036
Qwen2.5-7B,presupposition,26,0.8686,0.9036
Qwen2.5-7B,presupposition,27,0.8642,0.9036
Qwen2.5-7B,presupposition,28,0.8672,0.9036
Llama-3.1-8B,presupposition,0,0.7753,0.7753
Llama-3.1-8B,presupposition,1,0.6073,0.7753
Llama-3.1-8B,presupposition,2,0.6781,0.7753
Llama-3.1-8B,presupposition,3,0.664,0.7753
Llama-3.1-8B,presupposition,4,0.6822,0.7753
Llama-3.1-8B,presupposition,5,0.7287,0.7753
Llama-3.1-8B,presupposition,6,0.7126,0.7753
Llama-3.1-8B,presupposition,7,0.7247,0.7753
Llama-3.1-8B,presupposition,8,0.7206,0.7753
Llama-3.1-8B,presupposition,9,0.6862,0.7753
Llama-3.1-8B,presupposition,10,0.7045,0.7753
Llama-3.1-8B,presupposition,11,0.7166,0.7753
Llama-3.1-8B,presupposition,12,0.6923,0.7753
Llama-3.1-8B,presupposition,13,0.6903,0.7753
Llama-3.1-8B,presupposition,14,0.7186,0.7753
Llama-3.1-8B,presupposition,15,0.7126,0.7753
Llama-3.1-8B,presupposition,16,0.7045,0.7753
Llama-3.1-8B,presupposition,17,0.7004,0.7753
Llama-3.1-8B,presupposition,18,0.7166,0.7753
Llama-3.1-8B,presupposition,19,0.7065,0.7753
Llama-3.1-8B,presupposition,20,0.6943,0.7753
Llama-3.1-8B,presupposition,21,0.6862,0.7753
Llama-3.1-8B,presupposition,22,0.7004,0.7753
Llama-3.1-8B,presupposition,23,0.7065,0.7753
Llama-3.1-8B,presupposition,24,0.7105,0.7753
Llama-3.1-8B,presupposition,25,0.7267,0.7753
Llama-3.1-8B,presupposition,26,0.7247,0.7753
Llama-3.1-8B,presupposition,27,0.7368,0.7753
Llama-3.1-8B,presupposition,28,0.7227,0.7753
Llama-3.1-8B,presupposition,29,0.7227,0.7753
Llama-3.1-8B,presupposition,30,0.7368,0.7753
Llama-3.1-8B,presupposition,31,0.7389,0.7753
Llama-3.1-8B,presupposition,32,0.7308,0.7753
Qwen3.5-9B,presupposition,0,0.7587,0.7587
