model,qtype,k,peak_auc,best_layer,n,n_flip,layer,layer_auc
DeepSeek-R1-7B,base,1,0.5077220077220077,10.0,176,148,,
DeepSeek-R1-7B,base,1,,,176,148,0.0,0.5
DeepSeek-R1-7B,base,1,,,176,148,1.0,0.4524613899613899
DeepSeek-R1-7B,base,1,,,176,148,2.0,0.4044401544401544
DeepSeek-R1-7B,base,1,,,176,148,3.0,0.3952702702702703
DeepSeek-R1-7B,base,1,,,176,148,4.0,0.41747104247104244
DeepSeek-R1-7B,base,1,,,176,148,5.0,0.4498069498069498
DeepSeek-R1-7B,base,1,,,176,148,6.0,0.47128378378378377
DeepSeek-R1-7B,base,1,,,176,148,7.0,0.4662162162162162
DeepSeek-R1-7B,base,1,,,176,148,8.0,0.46332046332046334
DeepSeek-R1-7B,base,1,,,176,148,9.0,0.4732142857142857
DeepSeek-R1-7B,base,1,,,176,148,10.0,0.5077220077220077
DeepSeek-R1-7B,base,1,,,176,148,11.0,0.4862451737451738
DeepSeek-R1-7B,base,1,,,176,148,12.0,0.4845559845559846
DeepSeek-R1-7B,base,1,,,176,148,13.0,0.45752895752895756
DeepSeek-R1-7B,base,1,,,176,148,14.0,0.45077220077220076
DeepSeek-R1-7B,base,1,,,176,148,15.0,0.4329150579150579
DeepSeek-R1-7B,base,1,,,176,148,16.0,0.4312258687258687
DeepSeek-R1-7B,base,1,,,176,148,17.0,0.45246138996138996
DeepSeek-R1-7B,base,1,,,176,148,18.0,0.458011583011583
DeepSeek-R1-7B,base,1,,,176,148,19.0,0.4437741312741313
DeepSeek-R1-7B,base,1,,,176,148,20.0,0.4058880308880308
DeepSeek-R1-7B,base,1,,,176,148,21.0,0.38634169884169883
DeepSeek-R1-7B,base,1,,,176,148,22.0,0.38030888030888027
DeepSeek-R1-7B,base,1,,,176,148,23.0,0.3730694980694981
DeepSeek-R1-7B,base,1,,,176,148,24.0,0.40226833976833976
DeepSeek-R1-7B,base,1,,,176,148,25.0,0.4017857142857143
DeepSeek-R1-7B,base,1,,,176,148,26.0,0.42591698841698844
DeepSeek-R1-7B,base,1,,,176,148,27.0,0.4531853281853282
DeepSeek-R1-7B,base,1,,,176,148,28.0,0.4777992277992278
DeepSeek-R1-7B,base,2,0.6353764478764479,28.0,176,148,,
DeepSeek-R1-7B,base,2,,,176,148,0.0,0.5
DeepSeek-R1-7B,base,2,,,176,148,1.0,0.5125482625482626
DeepSeek-R1-7B,base,2,,,176,148,2.0,0.5033783783783784
DeepSeek-R1-7B,base,2,,,176,148,3.0,0.42109073359073357
DeepSeek-R1-7B,base,2,,,176,148,4.0,0.4874517374517374
DeepSeek-R1-7B,base,2,,,176,148,5.0,0.5200289575289576
DeepSeek-R1-7B,base,2,,,176,148,6.0,0.5361969111969112
DeepSeek-R1-7B,base,2,,,176,148,7.0,0.5388513513513513
DeepSeek-R1-7B,base,2,,,176,148,8.0,0.5593629343629345
DeepSeek-R1-7B,base,2,,,176,148,9.0,0.599903474903475
DeepSeek-R1-7B,base,2,,,176,148,10.0,0.5634652509652509
DeepSeek-R1-7B,base,2,,,176,148,11.0,0.5579150579150579
DeepSeek-R1-7B,base,2,,,176,148,12.0,0.5173745173745173
DeepSeek-R1-7B,base,2,,,176,148,13.0,0.5260617760617761
DeepSeek-R1-7B,base,2,,,176,148,14.0,0.5427123552123552
DeepSeek-R1-7B,base,2,,,176,148,15.0,0.520511583011583
DeepSeek-R1-7B,base,2,,,176,148,16.0,0.5062741312741312
DeepSeek-R1-7B,base,2,,,176,148,17.0,0.552123552123552
DeepSeek-R1-7B,base,2,,,176,148,18.0,0.5663610038610039
DeepSeek-R1-7B,base,2,,,176,148,19.0,0.6312741312741313
DeepSeek-R1-7B,base,2,,,176,148,20.0,0.5895270270270271
DeepSeek-R1-7B,base,2,,,176,148,21.0,0.550434362934363
DeepSeek-R1-7B,base,2,,,176,148,22.0,0.5456081081081081
DeepSeek-R1-7B,base,2,,,176,148,23.0,0.5567084942084941
DeepSeek-R1-7B,base,2,,,176,148,24.0,0.5760135135135135
DeepSeek-R1-7B,base,2,,,176,148,25.0,0.5456081081081081
DeepSeek-R1-7B,base,2,,,176,148,26.0,0.5398166023166023
DeepSeek-R1-7B,base,2,,,176,148,27.0,0.5383687258687259
DeepSeek-R1-7B,base,2,,,176,148,28.0,0.6353764478764479
DeepSeek-R1-7B,base,3,0.606418918918919,28.0,176,148,,
DeepSeek-R1-7B,base,3,,,176,148,0.0,0.5
DeepSeek-R1-7B,base,3,,,176,148,1.0,0.522442084942085
DeepSeek-R1-7B,base,3,,,176,148,2.0,0.5024131274131274
DeepSeek-R1-7B,base,3,,,176,148,3.0,0.40974903474903474
DeepSeek-R1-7B,base,3,,,176,148,4.0,0.5
DeepSeek-R1-7B,base,3,,,176,148,5.0,0.521476833976834
DeepSeek-R1-7B,base,3,,,176,148,6.0,0.5041023166023166
DeepSeek-R1-7B,base,3,,,176,148,7.0,0.582046332046332
DeepSeek-R1-7B,base,3,,,176,148,8.0,0.5583976833976834
DeepSeek-R1-7B,base,3,,,176,148,9.0,0.5929054054054054
DeepSeek-R1-7B,base,3,,,176,148,10.0,0.5294401544401545
DeepSeek-R1-7B,base,3,,,176,148,11.0,0.5530888030888031
DeepSeek-R1-7B,base,3,,,176,148,12.0,0.5108590733590734
DeepSeek-R1-7B,base,3,,,176,148,13.0,0.5091698841698842
DeepSeek-R1-7B,base,3,,,176,148,14.0,0.5337837837837839
DeepSeek-R1-7B,base,3,,,176,148,15.0,0.5540540540540541
DeepSeek-R1-7B,base,3,,,176,148,16.0,0.5325772200772201
DeepSeek-R1-7B,base,3,,,176,148,17.0,0.5330598455598455
DeepSeek-R1-7B,base,3,,,176,148,18.0,0.5501930501930503
DeepSeek-R1-7B,base,3,,,176,148,19.0,0.4657335907335907
DeepSeek-R1-7B,base,3,,,176,148,20.0,0.5079633204633205
DeepSeek-R1-7B,base,3,,,176,148,21.0,0.47442084942084944
DeepSeek-R1-7B,base,3,,,176,148,22.0,0.48889961389961395
DeepSeek-R1-7B,base,3,,,176,148,23.0,0.49444980694980695
DeepSeek-R1-7B,base,3,,,176,148,24.0,0.4753861003861004
DeepSeek-R1-7B,base,3,,,176,148,25.0,0.46452702702702703
DeepSeek-R1-7B,base,3,,,176,148,26.0,0.45970077220077216
DeepSeek-R1-7B,base,3,,,176,148,27.0,0.47152509652509655
DeepSeek-R1-7B,base,3,,,176,148,28.0,0.606418918918919
DeepSeek-R1-7B,base,4,0.5615347490347491,9.0,176,148,,
DeepSeek-R1-7B,base,4,,,176,148,0.0,0.5
DeepSeek-R1-7B,base,4,,,176,148,1.0,0.5395752895752897
