Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,0,0,0,0,0
3,1,1,1,1,1
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,1,1,1,1,1
8,1,1,1,1,0
9,1,0,0,0,0
10,0,0,0,0,0
11,1,0,0,0,0
12,0,0,0,0,0
13,1,1,1,0,0
14,1,1,1,1,1
15,1,1,0,0,0
16,1,1,1,1,1
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,1,1,1,1,1
21,1,1,1,1,1
22,1,0,0,0,0
23,0,0,0,0,0
24,1,1,1,1,1
25,0,0,0,0,0
26,1,1,1,1,1
27,0,0,0,0,0
28,1,1,1,1,1
29,0,0,0,0,0
30,0,0,0,0,0
31,1,1,1,1,1
32,0,0,0,0,0
33,1,1,1,1,1
34,0,0,0,0,0
35,0,0,0,0,0
36,1,1,1,1,1
37,0,0,0,0,0
38,1,0,0,0,0
39,1,1,1,0,0
40,1,1,1,1,1
41,0,0,0,0,0
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,0,0,0,0,0
46,1,1,1,1,1
47,0,0,0,0,0
48,1,1,1,1,1
49,1,1,1,0,0
50,1,1,0,0,0
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,0,0,0,0,0
55,0,0,0,0,0
56,1,1,1,1,1
57,1,1,0,0,0
58,1,1,1,1,1
59,1,1,0,0,0
60,1,1,0,0,0
61,0,0,0,0,0
62,1,1,1,1,1
63,0,0,0,0,0
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,0
67,1,1,1,0,0
68,0,0,0,0,0
69,1,1,1,0,0
70,1,1,1,1,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,1,0,0,0,0
75,1,0,0,0,0
76,0,0,0,0,0
77,1,1,1,1,1
78,1,1,1,1,1
79,1,1,1,1,1
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,1,1,1,1,1
84,0,0,0,0,0
85,0,0,0,0,0
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,0,0,0,0,0
90,1,1,1,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,1,1,1,1,1
96,1,1,1,1,1
97,0,0,0,0,0
98,0,0,0,0,0
99,1,1,1,0,0
100,1,1,1,1,1
101,1,1,1,1,1
102,0,0,0,0,0
103,1,1,1,1,0
104,0,0,0,0,0
105,0,0,0,0,0
106,1,1,1,1,1
107,0,0,0,0,0
108,0,0,0,0,0
109,1,1,1,0,0
110,0,0,0,0,0
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,1,0
114,0,0,0,0,0
115,1,0,0,0,0
116,1,1,1,1,1
117,0,0,0,0,0
118,0,0,0,0,0
119,1,1,1,0,0
120,1,1,1,1,1
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,1,1,1,1,1
125,1,1,1,1,0
126,1,1,1,1,1
127,1,1,1,0,0
128,0,0,0,0,0
129,1,1,1,1,1
130,0,0,0,0,0
131,1,1,1,1,1
132,1,1,1,1,1
133,0,0,0,0,0
134,0,0,0,0,0
135,1,1,1,0,0
136,1,1,0,0,0
137,1,1,0,0,0
138,0,0,0,0,0
139,1,1,1,1,1
140,1,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,1,1,1,0,0
145,1,1,1,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,1,1,1,1,1
149,1,1,1,1,1
150,1,1,1,1,1
151,1,0,0,0,0
152,1,1,1,1,1
153,1,0,0,0,0
154,1,0,0,0,0
155,1,1,1,1,1
156,1,1,1,1,1
157,1,1,0,0,0
158,1,1,1,0,0
159,0,0,0,0,0
160,1,1,1,1,1
161,1,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,1,0,0
167,0,0,0,0,0
168,1,0,0,0,0
169,0,0,0,0,0
170,1,0,0,0,0
171,1,1,1,1,1
172,1,0,0,0,0
173,0,0,0,0,0
174,1,1,0,0,0
175,1,1,1,0,0
176,1,1,1,1,1
177,0,0,0,0,0
178,1,0,0,0,0
179,1,1,1,1,0
180,1,1,1,1,1
181,1,1,1,1,0
182,0,0,0,0,0
183,0,0,0,0,0
184,1,0,0,0,0
185,0,0,0,0,0
186,1,1,1,0,0
187,1,1,1,1,1
188,0,0,0,0,0
189,1,1,1,0,0
190,0,0,0,0,0
191,1,1,0,0,0
192,0,0,0,0,0
193,1,1,1,1,1
194,0,0,0,0,0
195,1,1,1,1,1
196,1,1,1,1,0
197,0,0,0,0,0
198,1,1,1,1,1
199,1,0,0,0,0
200,1,0,0,0,0
