Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,0,0,0,0,0
3,1,1,1,1,1
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,1,1,1,1,1
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,1,1,1,1,1
15,0,0,0,0,0
16,1,1,1,1,1
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,1,1,1,1,1
22,1,1,1,1,1
23,0,0,0,0,0
24,1,1,1,1,1
25,0,0,0,0,0
26,1,1,1,1,1
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,1,1,1,1,1
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,1,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,1,1,1,1,1
43,1,1,1,1,1
44,1,0,0,0,0
45,0,0,0,0,0
46,1,1,1,1,1
47,0,0,0,0,0
48,1,1,1,1,1
49,0,0,0,0,0
50,1,1,0,0,0
51,1,1,1,1,1
52,1,1,1,1,1
53,0,0,0,0,0
54,1,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,1,1,1,1,1
60,1,0,0,0,0
61,1,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,1,1,1,1,1
67,1,0,0,0,0
68,0,0,0,0,0
69,1,1,1,0,0
70,1,1,1,1,1
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,1,0,0,0,0
76,1,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,1,1,1,1,1
80,1,0,0,0,0
81,0,0,0,0,0
82,1,1,1,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,1,1,1,1,1
87,0,0,0,0,0
88,1,1,1,1,1
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,1,1,1,1,1
96,1,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,1,0,0,0,0
100,0,0,0,0,0
101,1,1,1,1,1
102,0,0,0,0,0
103,1,1,1,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,1,1,1,1,1
110,0,0,0,0,0
111,1,1,1,1,1
112,1,1,1,1,1
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,1,1,1,1,1
120,1,1,1,1,1
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,1,1,1,1,0
126,0,0,0,0,0
127,1,1,0,0,0
128,0,0,0,0,0
129,1,1,1,1,1
130,0,0,0,0,0
131,0,0,0,0,0
132,1,1,1,1,1
133,1,1,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,1,1,1,1,1
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,1,1,1,1,1
145,1,1,1,1,1
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,1,1,1,1,1
150,0,0,0,0,0
151,0,0,0,0,0
152,1,1,1,1,1
153,1,0,0,0,0
154,1,1,1,1,1
155,1,1,1,1,0
156,1,1,1,1,1
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,1,1,1,1,1
161,1,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,1,0,0,0,0
169,0,0,0,0,0
170,1,1,1,1,1
171,1,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,1,1,1,1,1
175,1,1,1,1,1
176,1,1,1,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0,0,0,0,0
181,1,1,1,1,1
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,1,1,1
189,1,1,1,1,1
190,0,0,0,0,0
191,0,0,0,0,0
192,1,1,1,1,1
193,0,0,0,0,0
194,1,1,1,1,1
195,1,1,1,1,1
196,0,0,0,0,0
197,1,1,1,1,0
198,0,0,0,0,0
199,1,0,0,0,0
200,0,0,0,0,0
