Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,0,0
2,0,0,0,0,0
3,1,1,1,1,1
4,1,1,0,0,0
5,1,0,0,0,0
6,1,1,1,1,1
7,1,1,0,0,0
8,1,1,1,1,1
9,1,1,1,1,1
10,0,0,0,0,0
11,0,0,0,0,0
12,1,1,0,0,0
13,1,1,1,1,1
14,0,0,0,0,0
15,1,1,0,0,0
16,1,1,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,1,1,1,1,1
22,0,0,0,0,0
23,0,0,0,0,0
24,1,0,0,0,0
25,0,0,0,0,0
26,1,1,1,0,0
27,0,0,0,0,0
28,1,1,0,0,0
29,1,0,0,0,0
30,1,0,0,0,0
31,1,1,1,1,0
32,0,0,0,0,0
33,1,1,1,1,1
34,0,0,0,0,0
35,0,0,0,0,0
36,1,1,1,1,1
37,0,0,0,0,0
38,0,0,0,0,0
39,1,1,1,1,0
40,1,1,1,1,1
41,0,0,0,0,0
42,1,1,0,0,0
43,1,1,1,0,0
44,1,1,1,1,1
45,0,0,0,0,0
46,1,1,1,0,0
47,1,1,0,0,0
48,1,1,1,1,1
49,0,0,0,0,0
50,1,1,1,1,1
51,0,0,0,0,0
52,1,1,1,1,1
53,1,1,1,0,0
54,0,0,0,0,0
55,1,1,0,0,0
56,1,1,1,1,1
57,1,1,1,0,0
58,1,1,1,1,1
59,1,1,1,1,1
60,1,0,0,0,0
61,1,0,0,0,0
62,1,1,1,1,1
63,1,1,0,0,0
64,0,0,0,0,0
65,1,1,1,0,0
66,1,1,0,0,0
67,1,1,1,1,1
68,0,0,0,0,0
69,1,1,0,0,0
70,1,1,1,1,0
71,1,1,1,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,1,1,1,0,0
75,1,0,0,0,0
76,0,0,0,0,0
77,1,1,1,0,0
78,1,1,1,1,1
79,1,1,1,1,0
80,1,1,1,1,1
81,0,0,0,0,0
82,1,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,0,0,0,0,0
90,1,1,1,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,1,1,0,0,0
95,1,1,1,1,1
96,1,0,0,0,0
97,0,0,0,0,0
98,1,1,0,0,0
99,1,0,0,0,0
100,1,1,1,1,0
101,1,1,1,1,1
102,0,0,0,0,0
103,0,0,0,0,0
104,1,0,0,0,0
105,0,0,0,0,0
106,1,1,1,1,0
107,1,1,0,0,0
108,1,0,0,0,0
109,1,1,1,1,1
110,1,1,0,0,0
111,1,1,1,1,1
112,1,1,1,0,0
113,1,1,1,0,0
114,1,1,0,0,0
115,1,1,1,0,0
116,1,1,1,1,0
117,1,0,0,0,0
118,1,0,0,0,0
119,1,1,1,0,0
120,1,1,1,1,1
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,1,0,0,0,0
125,1,1,1,1,1
126,1,1,1,1,1
127,1,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,1,1,1,1,1
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,1,0,0,0,0
137,1,1,0,0,0
138,0,0,0,0,0
139,1,1,1,0,0
140,1,0,0,0,0
141,0,0,0,0,0
142,1,1,1,0,0
143,1,0,0,0,0
144,1,1,1,1,1
145,1,1,1,1,1
146,0,0,0,0,0
147,1,0,0,0,0
148,1,1,1,1,0
149,1,1,1,1,1
150,1,1,1,1,0
151,0,0,0,0,0
152,1,1,1,0,0
153,1,0,0,0,0
154,0,0,0,0,0
155,1,1,1,1,1
156,1,0,0,0,0
157,1,1,1,1,1
158,1,1,0,0,0
159,1,1,1,1,0
160,1,1,1,1,1
161,1,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,1,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,1,0,0,0,0
170,1,1,0,0,0
171,1,1,1,1,1
172,1,1,0,0,0
173,0,0,0,0,0
174,1,1,1,1,1
175,1,1,1,0,0
176,1,1,1,1,0
177,0,0,0,0,0
178,1,1,0,0,0
179,1,0,0,0,0
180,1,1,1,1,1
181,1,1,1,1,0
182,0,0,0,0,0
183,1,1,1,0,0
184,1,1,0,0,0
185,1,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,0,0,0
189,1,1,1,1,0
190,0,0,0,0,0
191,1,1,1,0,0
192,1,1,0,0,0
193,1,1,1,0,0
194,1,1,1,0,0
195,0,0,0,0,0
196,1,1,0,0,0
197,1,1,1,0,0
198,1,0,0,0,0
199,1,0,0,0,0
200,1,0,0,0,0
