Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,0,0,0
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,0,0,0,0,0
8,1,1,0,0,0
9,1,1,1,1,1
10,1,1,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,0,0,0
18,1,1,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,1,1,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,1,1,0,0,0
27,0,0,0,0,0
28,1,1,1,1,1
29,1,1,1,0,0
30,1,0,0,0,0
31,1,0,0,0,0
32,1,1,1,1,1
33,1,1,1,1,1
34,0,0,0,0,0
35,0,0,0,0,0
36,1,1,1,1,1
37,1,1,1,1,1
38,1,0,0,0,0
39,1,1,1,1,1
40,1,1,1,1,1
41,1,1,1,1,1
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,0,0,0,0,0
46,1,1,1,1,1
47,0,0,0,0,0
48,1,1,1,1,1
49,0,0,0,0,0
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,0,0,0,0,0
55,1,1,0,0,0
56,1,1,1,1,1
57,0,0,0,0,0
58,1,1,1,1,1
59,1,1,0,0,0
60,0,0,0,0,0
61,1,1,0,0,0
62,1,1,1,1,1
63,1,1,0,0,0
64,1,1,0,0,0
65,1,1,1,1,1
66,1,1,0,0,0
67,1,1,1,1,1
68,0,0,0,0,0
69,1,1,1,0,0
70,1,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,1,0,0,0,0
74,0,0,0,0,0
75,1,1,1,1,1
76,0,0,0,0,0
77,1,1,1,1,1
78,1,0,0,0,0
79,1,1,1,1,0
80,0,0,0,0,0
81,1,1,1,1,1
82,1,1,1,0,0
83,1,1,1,1,1
84,0,0,0,0,0
85,0,0,0,0,0
86,1,1,1,1,1
87,1,1,1,0,0
88,1,1,1,0,0
89,1,1,1,0,0
90,1,1,1,1,1
91,0,0,0,0,0
92,1,1,1,0,0
93,1,1,0,0,0
94,1,1,0,0,0
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,1,0,0,0,0
99,1,1,1,1,1
100,1,1,1,1,1
101,1,1,1,0,0
102,1,1,0,0,0
103,1,1,1,1,1
104,0,0,0,0,0
105,1,0,0,0,0
106,1,0,0,0,0
107,1,1,0,0,0
108,1,0,0,0,0
109,1,1,1,1,1
110,1,0,0,0,0
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,0,0
114,1,1,1,1,1
115,0,0,0,0,0
116,1,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,1,1,1,1,1
120,1,1,1,1,1
121,1,1,1,1,1
122,0,0,0,0,0
123,0,0,0,0,0
124,1,0,0,0,0
125,1,1,1,1,1
126,1,1,1,1,1
127,0,0,0,0,0
128,0,0,0,0,0
129,1,1,1,1,1
130,0,0,0,0,0
131,1,1,1,1,1
132,0,0,0,0,0
133,1,1,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,0,0,0,0,0
137,1,1,1,1,1
138,1,1,1,1,1
139,1,1,1,1,1
140,1,1,1,1,1
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,1,1,1,1,1
145,1,1,1,1,1
146,1,0,0,0,0
147,1,1,1,0,0
148,1,1,0,0,0
149,1,1,1,1,1
150,1,1,1,1,1
151,0,0,0,0,0
152,1,1,1,0,0
153,1,1,0,0,0
154,1,0,0,0,0
155,1,1,1,1,1
156,1,1,1,1,1
157,1,0,0,0,0
158,1,1,1,1,1
159,1,1,1,1,1
160,1,1,1,1,1
161,1,1,1,1,1
162,0,0,0,0,0
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,1,1,1
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,1,0,0,0,0
171,1,1,1,1,1
172,1,1,1,1,1
173,0,0,0,0,0
174,1,1,1,1,1
175,1,1,1,1,1
176,1,1,1,1,1
177,0,0,0,0,0
178,1,1,1,1,1
179,1,0,0,0,0
180,1,1,1,1,1
181,1,1,1,1,1
182,0,0,0,0,0
183,1,1,1,1,1
184,1,1,1,1,1
185,0,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,1,1,1
189,1,0,0,0,0
190,0,0,0,0,0
191,1,1,1,1,1
192,1,1,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,1,1,0,0,0
197,1,1,1,1,1
198,1,1,1,1,1
199,1,0,0,0,0
200,1,1,0,0,0
