Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,0,0,0,0,0
3,1,1,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,1,0,0,0,0
7,1,1,1,1,1
8,1,1,1,1,1
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,1,1,1,0,0
13,1,1,1,1,0
14,0,0,0,0,0
15,0,0,0,0,0
16,1,1,1,1,1
17,1,1,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,1,1,1,1,1
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,1,1,1,1,0
27,0,0,0,0,0
28,1,1,1,1,0
29,0,0,0,0,0
30,1,1,1,1,1
31,1,1,0,0,0
32,0,0,0,0,0
33,1,1,1,1,0
34,0,0,0,0,0
35,0,0,0,0,0
36,1,1,1,1,1
37,0,0,0,0,0
38,1,1,1,1,1
39,1,1,1,1,1
40,1,1,1,1,1
41,1,1,1,1,1
42,1,1,0,0,0
43,1,1,1,1,1
44,1,1,1,1,1
45,0,0,0,0,0
46,1,1,1,1,1
47,1,0,0,0,0
48,1,1,1,1,0
49,0,0,0,0,0
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,1,1,1
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,1,1,1,1,1
57,1,1,1,1,0
58,1,1,1,1,1
59,1,1,1,1,1
60,1,0,0,0,0
61,1,1,0,0,0
62,1,1,1,1,1
63,0,0,0,0,0
64,0,0,0,0,0
65,1,1,0,0,0
66,1,1,1,1,0
67,1,1,1,1,1
68,0,0,0,0,0
69,1,1,1,1,1
70,1,1,1,1,1
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,1,0,0,0,0
76,1,1,0,0,0
77,1,1,1,1,1
78,1,1,1,1,1
79,1,1,1,1,1
80,0,0,0,0,0
81,0,0,0,0,0
82,1,1,1,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,0,0,0,0,0
90,1,1,1,1,1
91,0,0,0,0,0
92,1,1,1,1,1
93,0,0,0,0,0
94,0,0,0,0,0
95,1,1,1,1,1
96,1,1,1,0,0
97,1,1,1,1,0
98,1,1,0,0,0
99,1,1,1,1,1
100,0,0,0,0,0
101,1,1,1,1,1
102,0,0,0,0,0
103,1,1,1,1,0
104,0,0,0,0,0
105,0,0,0,0,0
106,1,0,0,0,0
107,1,1,1,0,0
108,0,0,0,0,0
109,1,1,1,1,1
110,1,0,0,0,0
111,1,1,1,1,1
112,1,1,1,1,1
113,0,0,0,0,0
114,1,1,1,1,1
115,1,1,1,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,1,1,1,1,1
120,1,1,1,1,1
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,1,0,0,0,0
125,1,1,1,1,1
126,0,0,0,0,0
127,1,0,0,0,0
128,0,0,0,0,0
129,1,1,1,1,1
130,0,0,0,0,0
131,1,1,1,1,1
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,1,1,0,0,0
137,1,1,1,1,1
138,1,1,1,1,1
139,1,1,1,1,1
140,1,0,0,0,0
141,0,0,0,0,0
142,1,1,1,0,0
143,1,0,0,0,0
144,1,1,1,1,1
145,1,1,1,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,1,1,1,1,1
149,1,1,1,1,1
150,0,0,0,0,0
151,0,0,0,0,0
152,1,1,1,1,1
153,0,0,0,0,0
154,1,1,1,0,0
155,0,0,0,0,0
156,1,1,1,1,1
157,1,1,1,1,0
158,1,1,1,1,1
159,0,0,0,0,0
160,1,1,1,1,1
161,1,1,1,1,1
162,0,0,0,0,0
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,1,1,1
167,1,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,1,1,1,1,1
172,1,0,0,0,0
173,0,0,0,0,0
174,1,1,1,1,1
175,1,1,1,1,1
176,1,1,1,1,1
177,0,0,0,0,0
178,1,1,1,1,0
179,1,1,0,0,0
180,1,1,1,1,1
181,1,1,0,0,0
182,0,0,0,0,0
183,1,1,1,0,0
184,1,1,1,1,1
185,0,0,0,0,0
186,1,1,1,1,1
187,0,0,0,0,0
188,1,1,0,0,0
189,1,1,1,1,1
190,0,0,0,0,0
191,1,1,1,1,1
192,1,1,0,0,0
193,0,0,0,0,0
194,1,1,1,1,1
195,0,0,0,0,0
196,0,0,0,0,0
197,1,1,1,1,1
198,1,0,0,0,0
199,1,1,1,1,1
200,1,0,0,0,0
