QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,1,1,1,1,5,0
2,1,0,0,0,0,1,1
3,1,1,1,0,0,3,1
4,1,0,0,0,0,1,1
5,1,0,1,1,1,1,2
6,0,0,0,0,1,0,1
7,0,0,0,1,1,0,1
8,0,1,0,1,1,0,3
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,1,0,1
12,0,1,0,0,0,0,2
13,0,1,1,1,1,0,1
14,0,0,0,0,0,0,0
15,0,1,1,1,0,0,2
16,0,0,1,0,0,0,2
17,1,1,1,1,1,5,0
18,0,0,1,0,0,0,2
19,0,0,0,0,1,0,1
20,0,1,1,0,0,0,2
21,0,1,0,1,1,0,3
22,0,0,0,0,0,0,0
23,1,1,0,1,1,2,2
24,0,1,1,0,0,0,2
25,0,1,1,1,0,0,2
26,1,0,1,1,1,1,2
27,0,1,1,0,1,0,3
28,0,0,0,0,1,0,1
29,0,1,0,1,1,0,3
30,1,0,1,0,1,1,4
31,0,0,0,0,0,0,0
32,1,1,1,1,1,5,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,1,0,0,0,2
36,0,0,1,0,0,0,2
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,1,0,0,0,2
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,1,0,1,1,1,1,2
44,0,0,1,0,0,0,2
45,0,0,0,0,0,0,0
46,1,1,1,1,1,5,0
47,0,0,1,1,1,0,1
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,1,0,0,0,2
51,0,0,0,1,0,0,2
52,1,0,1,1,0,1,3
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,1,1,1,1,1,5,0
57,1,0,0,0,0,1,1
58,0,1,1,0,0,0,2
59,0,0,0,0,0,0,0
60,0,1,1,0,1,0,3
61,0,0,0,0,0,0,0
62,1,1,0,0,0,2,1
63,0,1,1,1,0,0,2
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,1,0,0,1,1,1,2
67,1,1,1,1,1,5,0
68,0,0,0,0,0,0,0
69,1,0,1,0,1,1,4
70,0,0,0,1,0,0,2
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,1,0,0,0,0,2
74,0,0,0,0,0,0,0
75,0,0,1,0,0,0,2
76,0,1,0,0,0,0,2
77,0,0,0,0,0,0,0
78,1,1,0,1,1,2,2
79,0,0,0,0,0,0,0
80,1,1,1,1,0,4,1
81,1,1,1,1,1,5,0
82,0,0,0,0,0,0,0
83,0,0,1,0,0,0,2
84,0,0,0,1,1,0,1
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,1,1,1,1,1,5,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,1,0,0,0,2
91,0,1,0,0,0,0,2
92,0,0,0,0,1,0,1
93,0,0,0,0,0,0,0
94,1,1,1,1,1,5,0
