Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,0,0
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,1,1,1,0,0
8,1,1,1,0,0
9,1,1,1,1,1
10,1,1,0,0,0
11,1,1,0,0,0
12,1,1,1,1,1
13,1,1,1,1,1
14,0,0,0,0,0
15,1,1,1,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,1,1,1,1,0
20,1,1,1,1,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,1,1,0,0,0
26,1,1,1,0,0
27,1,1,1,1,0
28,0,0,0,0,0
29,1,1,1,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,1,0,0,0,0
33,1,1,1,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,1,1,0,0,0
38,1,1,1,1,1
39,1,1,0,0,0
40,0,0,0,0,0
41,1,1,0,0,0
42,1,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,1,1,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,1,1,1,1,1
51,1,1,0,0,0
52,1,1,1,1,0
53,1,1,1,1,0
54,1,0,0,0,0
55,0,0,0,0,0
56,1,1,1,1,1
57,1,0,0,0,0
58,1,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,1,0,0,0,0
62,1,1,0,0,0
63,1,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,1,1,1,0,0
67,1,0,0,0,0
68,0,0,0,0,0
69,1,1,0,0,0
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,1,1,1,1,1
76,1,1,0,0,0
77,1,1,1,1,1
78,0,0,0,0,0
79,1,1,1,0,0
80,0,0,0,0,0
81,1,1,1,1,1
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,1,1,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,1,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,1,1,1,0,0
95,0,0,0,0,0
96,1,0,0,0,0
97,1,1,1,0,0
98,1,0,0,0,0
99,0,0,0,0,0
100,1,0,0,0,0
101,0,0,0,0,0
102,1,1,1,0,0
103,1,1,1,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,1,0,0,0,0
107,1,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,1,0,0,0,0
112,0,0,0,0,0
113,1,1,0,0,0
114,0,0,0,0,0
115,1,1,1,1,0
116,1,1,0,0,0
117,1,1,1,1,1
118,1,1,0,0,0
119,1,1,0,0,0
120,0,0,0,0,0
121,1,1,0,0,0
122,0,0,0,0,0
123,1,0,0,0,0
124,1,1,1,1,0
125,1,1,1,0,0
126,0,0,0,0,0
127,1,1,0,0,0
128,1,1,1,0,0
129,1,1,1,1,1
130,1,1,1,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,1,1,1,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,1,1,1,0,0
140,1,0,0,0,0
141,1,1,0,0,0
142,1,1,1,1,1
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,1,1,1,1,1
153,0,0,0,0,0
154,1,1,1,0,0
155,1,1,1,1,1
156,1,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,1,1,1,1,1
160,1,1,1,1,1
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,1,0,0,0,0
170,0,0,0,0,0
171,1,1,0,0,0
172,1,1,1,1,0
173,0,0,0,0,0
174,1,1,0,0,0
175,1,1,1,0,0
176,1,1,1,1,1
177,0,0,0,0,0
178,0,0,0,0,0
179,1,0,0,0,0
180,1,1,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,1,1,1,1,1
186,1,1,1,1,1
187,1,1,1,0,0
188,1,1,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,1,1,0,0,0
192,0,0,0,0,0
193,1,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,1,1,0,0,0
200,0,0,0,0,0
