Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,0,0,0
2,1,1,1,1,1
3,1,1,1,0,1
4,1,0,0,1,0
5,1,1,1,1,1
6,0,0,1,0,0
7,1,1,0,1,1
8,0,1,1,1,1
9,0,0,1,0,1
10,1,0,1,1,1
11,1,1,1,0,1
12,0,0,0,0,0
13,0,1,1,1,1
14,0,0,1,0,1
15,0,1,1,1,1
16,0,0,1,0,0
17,1,1,1,1,1
18,0,0,1,0,0
19,1,1,1,1,1
20,0,1,1,0,0
21,0,1,1,1,1
22,1,0,1,1,0
23,1,1,1,0,1
24,1,1,1,1,1
25,1,1,1,1,0
26,1,1,0,1,1
27,1,1,1,0,0
28,1,1,0,0,1
29,0,0,0,0,0
30,1,0,1,1,1
31,0,1,0,0,0
32,1,1,1,1,1
33,0,0,0,0,1
34,0,0,0,0,0
35,1,1,1,1,0
36,1,0,1,0,1
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,1,0,0
40,1,0,1,0,1
41,0,0,1,0,0
42,0,1,0,1,1
43,0,1,1,1,1
44,0,0,0,0,0
45,0,0,1,0,0
46,1,1,1,1,1
47,0,1,1,1,0
48,1,0,0,1,0
49,0,0,0,0,0
50,0,0,1,0,0
51,1,1,1,1,0
52,0,1,1,1,1
53,1,1,0,0,0
54,1,0,1,0,0
55,1,0,1,0,0
56,1,1,1,1,1
57,1,1,1,1,0
58,1,1,1,1,1
59,1,1,1,1,1
60,0,1,1,0,1
61,0,0,0,0,0
62,1,1,1,1,1
63,0,1,1,1,0
64,0,0,0,0,0
65,0,0,0,0,0
66,1,1,1,1,1
67,1,1,1,1,1
68,0,0,0,0,0
69,0,0,1,0,1
70,0,0,0,1,0
71,0,0,0,0,1
72,0,0,0,0,0
73,0,1,0,1,0
74,0,0,0,0,0
75,1,1,1,0,1
76,0,1,1,0,0
77,1,0,0,0,1
78,1,1,0,0,1
79,0,0,0,0,1
80,0,1,1,1,0
81,1,1,1,1,1
82,1,1,0,0,0
83,1,0,0,0,0
84,1,1,0,0,1
85,0,0,0,0,0
86,1,1,0,0,0
87,1,1,1,1,1
88,1,0,1,0,1
89,1,0,0,0,1
90,1,1,1,1,1
91,0,0,0,0,0
92,0,0,1,0,1
93,1,0,1,0,0
94,1,1,1,1,1
95,0,1,0,0,0
96,0,0,1,0,1
97,1,1,1,0,0
98,0,0,0,0,0
99,1,1,1,0,1
100,1,1,1,1,1
101,1,1,1,0,0
102,0,0,0,0,0
103,0,0,1,0,0
104,1,0,0,0,0
105,1,1,1,0,0
106,0,1,0,0,1
107,1,1,1,1,1
108,1,1,1,1,0
109,1,1,0,0,0
110,0,1,1,1,1
111,0,0,1,0,0
112,0,0,1,0,0
113,0,1,0,1,1
114,1,1,1,1,1
115,1,1,0,0,0
116,0,0,0,0,0
117,1,1,1,0,1
118,1,0,0,0,0
119,1,0,1,1,0
120,1,0,0,0,0
121,0,1,1,0,1
122,0,0,1,0,0
123,1,0,0,0,0
124,0,1,1,1,0
125,0,1,1,0,0
126,0,0,1,0,0
127,0,1,0,0,0
128,0,0,0,0,0
129,0,1,1,0,0
130,0,1,1,0,0
131,0,1,1,1,0
132,1,0,1,0,0
133,0,0,1,0,0
134,1,1,1,1,1
135,1,1,0,1,0
136,0,0,0,0,0
137,0,0,1,0,0
138,1,0,0,0,0
139,0,0,1,0,0
140,1,1,0,0,0
141,1,1,1,0,0
142,1,0,0,0,0
143,1,1,1,1,1
144,0,0,0,0,0
145,1,0,1,0,0
146,0,0,0,1,0
147,0,0,0,0,0
148,0,1,0,0,0
149,0,0,0,0,0
150,0,1,1,0,0
151,1,1,1,1,1
152,0,0,0,0,1
153,0,1,1,0,0
154,1,0,0,1,0
155,0,0,0,0,0
156,1,1,1,1,1
157,0,1,0,0,1
158,0,0,0,0,0
159,1,1,1,1,0
160,0,1,1,0,1
161,1,1,1,1,1
162,1,1,1,1,1
163,1,1,1,1,1
164,1,0,1,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,1,1,0
168,1,1,1,0,0
169,1,1,1,0,1
170,1,1,1,1,1
171,0,0,0,1,1
172,1,1,1,1,1
173,0,1,1,0,0
174,0,0,0,0,0
175,0,0,0,1,0
176,1,1,1,1,0
177,0,0,1,0,0
178,1,0,0,0,0
179,1,0,0,0,0
180,0,1,1,0,1
181,1,1,1,1,0
182,1,1,0,0,0
183,1,0,0,1,0
184,0,1,1,1,0
185,0,0,1,0,0
186,0,0,1,0,1
187,0,1,1,0,0
188,0,1,1,0,0
189,1,1,0,1,1
190,1,1,1,1,1
191,0,0,0,0,0
192,1,1,1,1,1
193,0,1,0,0,0
194,1,1,1,1,1
195,0,0,0,0,0
196,1,1,1,1,1
197,0,0,0,0,0
198,1,1,1,1,1
199,0,0,1,0,0
200,0,0,1,0,0
