Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,1,1,1,0,0
3,1,1,1,1,1
4,1,1,0,0,0
5,0,0,0,0,0
6,1,1,0,0,0
7,1,1,1,0,0
8,1,1,1,1,1
9,1,1,1,1,0
10,1,1,1,1,1
11,1,1,1,0,0
12,0,0,0,0,0
13,1,1,1,1,1
14,0,0,0,0,0
15,1,1,1,1,1
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,1,1,1,1,1
20,0,0,0,0,0
21,0,0,0,0,0
22,1,1,0,0,0
23,0,0,0,0,0
24,1,1,1,0,0
25,1,1,0,0,0
26,1,1,1,1,1
27,1,1,0,0,0
28,1,1,0,0,0
29,1,1,1,1,1
30,1,1,1,1,0
31,1,1,1,0,0
32,1,1,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,1,0,0,0,0
36,1,1,1,0,0
37,0,0,0,0,0
38,1,1,1,1,1
39,1,0,0,0,0
40,1,1,1,1,1
41,1,1,0,0,0
42,1,0,0,0,0
43,1,1,1,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,1,1,1,1,1
47,1,1,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,1,1,1,1,1
51,1,1,0,0,0
52,1,1,1,1,1
53,1,1,1,1,1
54,1,1,0,0,0
55,0,0,0,0,0
56,1,1,1,1,0
57,1,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,1,0,0,0,0
62,1,0,0,0,0
63,1,1,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,1,1,1,1,1
67,0,0,0,0,0
68,0,0,0,0,0
69,1,1,1,0,0
70,1,1,1,1,1
71,1,1,1,1,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,1,1,1,1,0
76,0,0,0,0,0
77,1,1,1,1,1
78,1,0,0,0,0
79,1,1,0,0,0
80,0,0,0,0,0
81,1,0,0,0,0
82,1,1,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,1,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,1,1,1,1,1
92,0,0,0,0,0
93,1,1,1,1,0
94,1,1,1,1,1
95,1,0,0,0,0
96,1,1,0,0,0
97,1,1,0,0,0
98,0,0,0,0,0
99,1,1,1,0,0
100,0,0,0,0,0
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,1,1,1,0,0
108,0,0,0,0,0
109,1,1,1,0,0
110,1,1,1,1,1
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,1,1,1,1,1
116,1,1,1,0,0
117,0,0,0,0,0
118,1,1,1,0,0
119,1,1,1,1,1
120,0,0,0,0,0
121,1,1,0,0,0
122,0,0,0,0,0
123,1,1,0,0,0
124,1,1,1,0,0
125,1,1,1,0,0
126,1,1,1,1,1
127,1,1,0,0,0
128,1,1,1,1,0
129,1,1,1,1,1
130,1,1,1,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,1,1,1,1,1
135,1,1,1,1,1
136,1,1,1,0,0
137,1,0,0,0,0
138,0,0,0,0,0
139,1,1,1,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,1,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,1,1,0,0,0
146,1,1,0,0,0
147,0,0,0,0,0
148,1,1,1,1,1
149,0,0,0,0,0
150,1,1,1,1,1
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,1,1,1,0,0
155,0,0,0,0,0
156,1,1,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,1,1,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,1,1,1,0,0
166,0,0,0,0,0
167,1,1,0,0,0
168,1,1,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,1,1,0,0,0
172,1,1,1,1,1
173,0,0,0,0,0
174,1,1,0,0,0
175,1,1,1,1,1
176,1,1,1,0,0
177,0,0,0,0,0
178,1,1,1,1,1
179,1,1,1,1,1
180,1,1,0,0,0
181,0,0,0,0,0
182,1,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,1,1,0,0,0
187,0,0,0,0,0
188,1,1,0,0,0
189,1,1,0,0,0
190,1,1,1,1,0
191,1,1,1,1,0
192,0,0,0,0,0
193,1,1,0,0,0
194,1,1,0,0,0
195,1,1,1,1,1
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
