QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,1,1,0,1,3,2
2,1,1,1,0,1,3,2
3,1,1,1,1,0,4,1
4,1,0,0,0,0,1,1
5,1,0,1,1,1,1,2
6,0,0,1,0,0,0,2
7,0,0,0,1,0,0,2
8,0,1,0,1,1,0,3
9,0,0,0,0,0,0,0
10,0,0,1,0,0,0,2
11,0,0,0,0,1,0,1
12,0,1,0,0,0,0,2
13,0,1,1,1,1,0,1
14,0,0,0,0,0,0,0
15,0,1,1,1,0,0,2
16,0,0,0,0,0,0,0
17,1,1,1,1,1,5,0
18,0,0,1,0,0,0,2
19,0,0,0,0,1,0,1
20,0,1,1,0,0,0,2
21,0,1,0,1,0,0,4
22,0,0,0,0,0,0,0
23,1,1,1,0,1,3,2
24,0,1,1,0,0,0,2
25,1,1,1,1,1,5,0
26,1,1,1,1,0,4,1
27,0,1,1,0,1,0,3
28,1,0,0,0,1,1,2
29,0,0,0,1,1,0,1
30,1,0,1,1,1,1,2
31,0,0,0,0,0,0,0
32,0,1,1,1,1,0,1
33,0,0,0,0,0,0,0
34,1,0,0,0,0,1,1
35,1,1,1,0,0,3,1
36,1,0,1,0,0,1,3
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,1,0,0,0,2
40,0,0,1,0,0,0,2
41,0,0,1,0,0,0,2
42,0,1,0,0,0,0,2
43,1,0,1,1,1,1,2
44,1,0,0,0,0,1,1
45,0,0,0,0,0,0,0
46,1,1,1,1,1,5,0
47,0,0,1,1,1,0,1
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,1,0,1,1,0,1,3
52,1,1,1,1,1,5,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,1,1,1,1,1,5,0
57,1,0,0,1,0,1,3
58,1,1,0,0,0,2,1
59,0,0,0,0,0,0,0
60,0,1,1,0,1,0,3
61,0,0,0,0,0,0,0
62,1,1,1,1,0,4,1
63,0,1,1,1,0,0,2
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,1,0,0,1,1,1,2
67,1,1,1,1,1,5,0
68,0,0,0,0,0,0,0
69,0,0,1,0,1,0,3
70,0,0,0,1,0,0,2
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,1,0,0,0,0,2
74,0,0,0,0,0,0,0
75,0,1,1,0,0,0,2
76,0,1,0,0,0,0,2
77,1,0,0,0,1,1,2
78,1,1,0,0,0,2,1
79,0,0,0,0,0,0,0
80,1,1,1,0,0,3,1
81,1,1,1,1,1,5,0
82,1,0,0,0,0,1,1
83,0,0,1,0,0,0,2
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,1,1,1,1,1,5,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,1,0,1,0,3
91,0,0,0,0,0,0,0
92,0,0,0,0,1,0,1
93,1,0,0,1,0,1,3
94,1,1,0,1,1,2,2
95,0,1,0,0,0,0,2
96,0,0,0,0,1,0,1
97,1,0,0,0,0,1,1
98,0,0,0,0,0,0,0
99,1,0,1,0,0,1,3
100,0,1,1,1,1,0,1
101,0,1,1,0,0,0,2
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,0,1,0,0,0,0,2
107,0,1,1,0,1,0,3
108,1,1,1,1,0,4,1
