Row 1: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 2: ToF = 4, NoF = 1, Alignments = [1 1 1 1 0]
Row 3: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 4: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 5: ToF = 1, NoF = 2, Alignments = [1 0 1 1 1]
Row 6: ToF = 0, NoF = 2, Alignments = [0 1 1 0 0]
Row 7: ToF = 2, NoF = 2, Alignments = [1 1 0 1 1]
Row 8: ToF = 0, NoF = 3, Alignments = [0 1 0 1 1]
Row 9: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 10: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 11: ToF = 0, NoF = 3, Alignments = [0 1 0 0 1]
Row 12: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 13: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 14: ToF = 1, NoF = 2, Alignments = [1 0 0 0 1]
Row 15: ToF = 0, NoF = 3, Alignments = [0 1 1 0 1]
Row 16: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 17: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 18: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 19: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 20: ToF = 0, NoF = 2, Alignments = [0 1 1 0 0]
Row 21: ToF = 0, NoF = 2, Alignments = [0 1 1 1 0]
Row 22: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 23: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 24: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 25: ToF = 0, NoF = 2, Alignments = [0 1 1 1 0]
Row 26: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 27: ToF = 0, NoF = 3, Alignments = [0 1 1 0 1]
Row 28: ToF = 0, NoF = 3, Alignments = [0 1 1 0 1]
Row 29: ToF = 0, NoF = 1, Alignments = [0 0 0 1 1]
Row 30: ToF = 1, NoF = 4, Alignments = [1 0 1 0 1]
Row 31: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 32: ToF = 4, NoF = 1, Alignments = [1 1 1 1 0]
Row 33: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 34: ToF = 0, NoF = 3, Alignments = [0 0 1 0 1]
Row 35: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 36: ToF = 1, NoF = 3, Alignments = [1 0 1 1 0]
Row 37: ToF = 2, NoF = 1, Alignments = [1 1 0 0 0]
Row 38: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 39: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 40: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 41: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 42: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 43: ToF = 1, NoF = 2, Alignments = [1 0 1 1 1]
Row 44: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 45: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
